title,genres,is_comedy,is_european,is_scifi,is_action,is_crime,is_drama,is_animation,is_family,is_fantasy,is_music,is_romance,is_reality,is_western,is_thriller,is_horror,is_sport,is_documentation,is_war,is_history
Til Death Do Us Part,"['scifi', 'documentation']",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Immigration Nation,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Terrace House: Tokyo 2019-2020,"['reality', 'drama']",False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Magical Andes,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Mythomaniac,"['comedy', 'drama']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Trials of Gabriel Fernandez,"['crime', 'documentation']",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Go!,"['family', 'sport']",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Tiny Creatures,"['documentation', 'drama', 'family']",False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
45 RPM,"['drama', 'music']",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
ReMastered: The Two Killings of Sam Cooke,"['documentation', 'music']",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
The Circle Brazil,['reality'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Search: WWW,"['drama', 'comedy', 'family', 'romance']",True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
Grass Is Greener,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Followers,"['drama', 'comedy']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Big Show Show,"['comedy', 'family']",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Brotherhood,"['drama', 'action', 'crime', 'thriller']",False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Cooked With Cannabis,['reality'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Private Lives,"['crime', 'thriller', 'drama', 'action', 'comedy', 'romance']",True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False
The Club,"['comedy', 'drama']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
David Foster: Off the Record,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Double World,"['fantasy', 'action']",False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Dragon's Dogma,"['action', 'scifi', 'animation']",False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Carmel: Who Killed Maria Marta?,"['documentation', 'crime']",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
